Sample:float;Data:float
"32.0";"16384.0"
"33.0";"-32768.0"
"34.0";"-16384.0"
"35.0";"0.0"
"36.0";"16384.0"
"37.0";"-32768.0"
"38.0";"-16384.0"
"39.0";"0.0"
"40.0";"16384.0"
"41.0";"-32768.0"
"42.0";"-16384.0"
"43.0";"0.0"
"44.0";"16384.0"
"45.0";"-32768.0"
"46.0";"-16384.0"
"47.0";"0.0"
"48.0";"16384.0"
"49.0";"-32768.0"
"50.0";"-16384.0"
"51.0";"0.0"
"52.0";"16384.0"
"53.0";"-32768.0"
"54.0";"-16384.0"
"55.0";"0.0"
"56.0";"16384.0"
"57.0";"-32768.0"
"58.0";"-16384.0"
"59.0";"0.0"
"60.0";"16384.0"
"61.0";"-32768.0"
"62.0";"-16384.0"
"63.0";"0.0"
