Sample:float;Data:float
"0.0";"24576.0"
"1.0";"-16384.0"
"2.0";"8192.0"
"3.0";"-32768.0"
"4.0";"-8192.0"
"5.0";"16384.0"
"6.0";"-24576.0"
"7.0";"0.0"
"8.0";"24576.0"
"9.0";"-16384.0"
"10.0";"8192.0"
"11.0";"-32768.0"
"12.0";"-8192.0"
"13.0";"16384.0"
"14.0";"-24576.0"
"15.0";"0.0"
"16.0";"24576.0"
"17.0";"-16384.0"
"18.0";"8192.0"
"19.0";"-32768.0"
"20.0";"-8192.0"
"21.0";"16384.0"
"22.0";"-24576.0"
"23.0";"0.0"
"24.0";"24576.0"
"25.0";"-16384.0"
"26.0";"8192.0"
"27.0";"-32768.0"
"28.0";"-8192.0"
"29.0";"16384.0"
"30.0";"-24576.0"
"31.0";"0.0"
