Sample:float;Data:float
"0.0";"0.0"
"1.0";"12639.0"
"2.0";"23331.0"
"3.0";"30492.0"
"4.0";"-32536.0"
"5.0";"30492.0"
"6.0";"23331.0"
"7.0";"12639.0"
"8.0";"0.0"
"9.0";"-12639.0"
"10.0";"-23331.0"
"11.0";"-30492.0"
"12.0";"32536.0"
"13.0";"-30492.0"
"14.0";"-23331.0"
"15.0";"-12639.0"
"16.0";"0.0"
"17.0";"12639.0"
"18.0";"23331.0"
"19.0";"30492.0"
"20.0";"-32536.0"
"21.0";"30492.0"
"22.0";"23331.0"
"23.0";"12639.0"
"24.0";"0.0"
"25.0";"-12639.0"
"26.0";"-23331.0"
"27.0";"-30492.0"
"28.0";"32536.0"
"29.0";"-30492.0"
"30.0";"-23331.0"
"31.0";"-12639.0"
