Sample:float;Data:float
"32.0";"0.0"
"33.0";"12256.0"
"34.0";"22624.0"
"35.0";"29568.0"
"36.0";"32000.0"
"37.0";"29568.0"
"38.0";"22624.0"
"39.0";"12256.0"
"40.0";"0.0"
"41.0";"-12256.0"
"42.0";"-22624.0"
"43.0";"-29568.0"
"44.0";"-32000.0"
"45.0";"-29568.0"
"46.0";"-22624.0"
"47.0";"-12256.0"
"48.0";"0.0"
"49.0";"12256.0"
"50.0";"22624.0"
"51.0";"29568.0"
"52.0";"32000.0"
"53.0";"29568.0"
"54.0";"22624.0"
"55.0";"12256.0"
"56.0";"0.0"
"57.0";"-12256.0"
"58.0";"-22624.0"
"59.0";"-29568.0"
"60.0";"-32000.0"
"61.0";"-29568.0"
"62.0";"-22624.0"
"63.0";"-12256.0"
