#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B027D8
#Date Time: 2023-06-12 12:30:51.471
#Start: 100 Hz
#Stop: 8000 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47316 V
#Offset: 0.000111453 V
#Relative: no
#Channel: Channel 2
#Range: 5.4696 V
#Offset: 0.000228279 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.005917302306556356,-50.5220058272451,170.856073066974
115.8,-0.005174927394716883,-49.15972403281127,153.9690871872046
131.6,-0.004836381985010392,-48.07146787038096,137.3112024397732
147.4,-0.004267689862287978,-47.04087430573668,120.4393626764997
163.2,-0.004024155460427616,-46.12374713655274,104.2038183457791
179,-0.004202429349486502,-45.27951736967846,87.75232047436403
194.8,-0.003717976708054191,-44.51088421651534,71.44766128794416
210.6,-0.003777319052493948,-43.81737274793562,55.19515563519516
226.4,-0.003724445405752488,-43.16695803476133,39.12348662435555
242.2,-0.00333331837438184,-42.56681332831394,22.68219303050271
258.0000000000001,-0.003350796733264886,-42.0479094504859,6.522309985653457
273.8000000000001,-0.003524484369890943,-41.48020728585068,-9.735066517662521
289.6,-0.003273739078703285,-41.01409404426398,-25.80445834804121
305.4,-0.003308951985251002,-40.54075593647259,-42.03917362360424
321.2,-0.003562031720870763,-40.11795712430468,-58.2719521574144
337.0000000000001,-0.003209581342652572,-39.71302921061177,-74.36055931896486
352.8000000000001,-0.00348417775976444,-39.3395386392575,-90.65141583770952
368.6000000000001,-0.003454107228062366,-38.93947816258415,-106.9269273368669
384.4,-0.003354093156953334,-38.59746606423192,-123.262156867682
400.2,-0.003727964605732735,-38.25291338509129,-139.5746899405142
416.0000000000001,-0.003593590868524568,-37.90023105033217,-155.7870096562613
431.8000000000001,-0.00391787673472061,-37.59121867675836,-172.0447579644383
447.6000000000001,-0.003641442569179699,-37.25917478126768,171.6924277932665
463.4,-0.003560772553596172,-36.96785071254207,155.344411068781
479.2,-0.003203687152106377,-36.6584430240323,139.1840441599651
495.0000000000001,-0.004004822477730782,-36.35947007684794,122.7903549578577
510.8000000000001,-0.003586787126454322,-36.0743146694625,106.4676790130336
526.6000000000001,-0.003365327611495936,-35.80135519935213,90.27896690602793
542.4000000000001,-0.003368845824678138,-35.50783065252837,74.04929827656194
558.2,-0.003324229196463297,-35.2468861451319,57.79201174463482
574.0000000000001,-0.003240905685770382,-34.99938549519847,41.51069519022515
589.8000000000001,-0.003302824465182053,-34.72974576083826,25.32508372199063
605.6000000000001,-0.003582763932345721,-34.51057613634488,9.168623987041045
621.4000000000001,-0.003630503234528296,-34.25061829795028,-6.95807552913509
637.2000000000002,-0.003932350330840838,-34.02052522056491,-23.08724424896123
653.0000000000001,-0.003168902775500144,-33.81616114315231,-39.37529272878407
668.8000000000001,-0.00377360216203635,-33.58479365410335,-55.50629553849731
684.6000000000001,-0.003473292305612173,-33.39232012119869,-71.84870637406733
700.4000000000001,-0.00396242498603129,-33.18348221494116,-87.95511157759351
716.2000000000002,-0.003705944551449875,-32.97223259435584,-104.1209789367504
732.0000000000001,-0.003485852559382246,-32.78672266856717,-120.3503422044594
747.8000000000001,-0.003506618711846475,-32.59650440518756,-136.6885003396373
763.6000000000001,-0.00381588398888168,-32.40262826986695,-152.8148222637388
779.4000000000001,-0.004691774284504864,-32.21661849570781,-169.1067510878403
795.2000000000002,-0.003887242360764218,-32.0436793937733,174.675424206077
811.0000000000001,-0.00448356110638977,-31.85576445332465,158.3578545834524
826.8000000000001,-0.00407040754255164,-31.67539148427427,142.1111842157607
842.6000000000001,-0.004476804564496274,-31.50635764594179,125.9145060829864
858.4000000000001,-0.004017175375897639,-31.33471460115919,109.6944148615443
874.2000000000002,-0.003615627138484269,-31.13554674395053,93.44048492093121
890.0000000000001,-0.003722024468529776,-30.98053355170997,77.1850696584347
905.8000000000001,-0.004197456484176758,-30.82683023125817,60.95187791276976
921.6000000000001,-0.003915938422329417,-30.64579640750399,44.76742145868462
937.4000000000001,-0.003703232199901485,-30.47815136692218,28.49769128739874
953.2000000000002,-0.004725524269835014,-30.32901298616888,12.33089512823465
969.0000000000001,-0.004399912129445019,-30.15677854647787,-3.872234177565416
984.8000000000001,-0.003825639700714781,-29.99600116157343,-20.1741097592433
1000.6,-0.004016307060356305,-29.84991712805951,-36.32239732776092
1016.4,-0.003737794345814668,-29.68897428381324,-52.50247120570352
1032.2,-0.004328324246532976,-29.54156825021779,-68.6360144666571
1048,-0.004311800018253584,-29.40741583190727,-84.88737387164049
1063.8,-0.004443023003371634,-29.25867595303437,-101.0657953834149
1079.6,-0.004758336919564679,-29.11585092178092,-117.3302252702712
1095.4,-0.005001460547822473,-28.97417731770228,-133.5228478246145
1111.2,-0.004929733642719987,-28.82865378003049,-149.7513125412048
1127,-0.004851391807226828,-28.71370360321684,-165.8985241603483
1142.8,-0.004978412254539708,-28.56626519158486,177.7675994236388
1158.6,-0.004696841761049774,-28.42831683505433,161.5290582809882
1174.4,-0.004341164009090177,-28.30576457919172,145.2805958264361
1190.2,-0.004351303230715578,-28.16141039298097,129.0627337267363
1206,-0.005019306368954686,-28.03396200981276,112.8789174500002
1221.8,-0.005287364258594354,-27.89605765643073,96.61307304245379
1237.6,-0.004988091531612745,-27.7601104918196,80.3204847199294
1253.4,-0.00475399468432476,-27.63661294574168,64.13748322379379
1269.2,-0.005075910939949167,-27.49889622323934,47.894292054784
1285,-0.005200435462710869,-27.37066275615619,31.6159895202439
1300.8,-0.004640181648964663,-27.24357067474998,15.45891439800582
1316.6,-0.005055472239864429,-27.11152539971438,-0.733682917693568
1332.4,-0.005522705876627077,-26.98347870868981,-16.92774447114059
1348.2,-0.005532570613063422,-26.85996715460787,-33.15761480153218
1364,-0.004900760538203067,-26.73201892875532,-49.40584371657833
1379.8,-0.004943620796348285,-26.61207660740372,-65.5804764823901
1395.6,-0.005284262604815186,-26.50397375204755,-81.78084773935981
1411.4,-0.004789694006605322,-26.37268555846952,-97.96301022323513
1427.2,-0.005029947660150909,-26.2547987371897,-114.1899260891829
1443,-0.00563732987153548,-26.13381715913867,-130.4038749762826
1458.8,-0.005773801644169733,-26.02202429727218,-146.6574245514236
1474.6,-0.005192183752036674,-25.91074814984292,-162.843079472894
1490.4,-0.005150708195124049,-25.78087873135677,-179.120717132443
1506.2,-0.005968094985056965,-25.67555525249475,164.6637535770445
1522,-0.005785533392194855,-25.5637161505054,148.4344377080212
1537.8,-0.005536091070722653,-25.44860177627915,132.2145929277094
1553.6,-0.006187652635463265,-25.32873215775324,115.9434068697146
1569.4,-0.006157971589056468,-25.21425676336117,99.66375063118713
1585.2,-0.006244861091359062,-25.10247485657796,83.46695910285834
1601,-0.005689162208813184,-24.98567390007261,67.21165123049522
1616.8,-0.005903107649490206,-24.86944955349559,50.96559301229511
1632.6,-0.006086723788737203,-24.75944735990469,34.72880567800428
1648.4,-0.006130477628549097,-24.63704258331953,18.52761761440245
1664.2,-0.005864533172647179,-24.52908074721311,2.29194679692643
1680,-0.005950117309328766,-24.41136720005418,-13.93403737653928
1695.8,-0.005980592931999094,-24.29705842462877,-30.1534331397976
1711.6,-0.005646522658582609,-24.18527353056071,-46.35806895101344
1727.4,-0.005862355410161525,-24.07006927154853,-62.5953295587082
1743.2,-0.005950519509544554,-23.96527764468862,-78.78326819819164
1759,-0.005874694689289403,-23.84661579825388,-95.01100745207205
1774.8,-0.006132599803572429,-23.74248767424868,-111.226259013352
1790.6,-0.006074722408439425,-23.63948034684793,-127.4288750039133
1806.4,-0.006475960010093366,-23.52424233416349,-143.665789065162
