#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B027D8
#Date Time: 2023-06-12 12:28:32.890
#Start: 8000 Hz
#Stop: 100 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47316 V
#Offset: 0.000111453 V
#Relative: no
#Channel: Channel 2
#Range: 5.4696 V
#Offset: 0.000228279 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.006037664922040358,-50.4588430292394,-131.6314015295663
115.8,-0.005179997604924743,-49.17786261663679,-129.5780748697319
131.6,-0.004575000272379188,-48.07524533730256,-141.978197080903
147.4,-0.004204047802324264,-47.04199647321371,-102.8203184908698
163.2,-0.00433848388683168,-46.12964721408687,-115.2269679426117
179,-0.004053603434253334,-45.28372863027396,-117.5499476831141
194.8,-0.003693859173013463,-44.53562047928816,-96.78874563854028
210.6,-0.003755516675352555,-43.81291261241121,-85.7334744913976
226.4,-0.003784214034322129,-43.16877944711599,-54.05958233415134
242.2,-0.003735417948396598,-42.590601595008,-48.99812036227886
258.0000000000001,-0.003439431744023688,-42.02126914454915,-11.44929639886548
273.8000000000001,-0.003827115876041285,-41.50608425698173,-12.67090485230977
289.6,-0.0035370754122095,-41.01685498090014,30.10006215165777
305.4,-0.003809488188130945,-40.5282120106089,26.32674405761418
321.2,-0.003510735224113693,-40.10501942299123,44.41543574505594
337.0000000000001,-0.003639232363517597,-39.70779967892815,64.34617034551475
352.8000000000001,-0.003577194716986101,-39.30173146357941,84.29744770293226
368.6000000000001,-0.003525558232014082,-38.94417955364363,92.84843938304932
384.4,-0.003551473224795772,-38.57486346523909,112.3316796099458
400.2,-0.003607187822434708,-38.23077540069045,134.4404174725484
416.0000000000001,-0.003590644873673679,-37.89000916380188,139.8545741062891
431.8000000000001,-0.003545755691362527,-37.57220299653729,156.2205448065715
447.6000000000001,-0.003606989420933562,-37.2448102240057,175.7744472722939
463.4,-0.003778613472540538,-36.93620082351938,-172.2962644949194
479.2,-0.003760017277844147,-36.65227059249581,-152.4816965091172
495.0000000000001,-0.003545813313058574,-36.37348654134814,-140.2920737613427
510.8000000000001,-0.003850292410696332,-36.06723847327062,-121.2146502865643
526.6000000000001,-0.00351752701326083,-35.80452247511497,-105.9672969334477
542.4000000000001,-0.00355473234714868,-35.51862315161161,-90.83488316203997
558.2,-0.00349546165011551,-35.24314045972677,-76.43566762114328
574.0000000000001,-0.003598392909519306,-35.00902054482778,-57.66238429044002
589.8000000000001,-0.003374252296096936,-34.75116762248686,-41.93105816013345
605.6000000000001,-0.003690391886855935,-34.49237910332425,-25.09596941661835
621.4000000000001,-0.003634615469636756,-34.2793293364404,-9.514475927479477
637.2000000000002,-0.003856181604021209,-34.05007421342776,7.340583041261347
653.0000000000001,-0.003721867098110308,-33.81921445112759,23.57246306461907
668.8000000000001,-0.00348702135644893,-33.60567032045986,40.28990712569462
684.6000000000001,-0.003854720480101035,-33.38195396419699,56.47936204449472
700.4000000000001,-0.003704352012378286,-33.17127795612939,72.8236470332412
716.2000000000002,-0.003756595462815749,-32.98631033530413,89.04686094950011
732.0000000000001,-0.004038434049706303,-32.78490844285662,105.6801122412337
747.8000000000001,-0.003851572335934382,-32.59425252584209,121.6214366904134
763.6000000000001,-0.005029504203277051,-32.41704162374484,137.5965198550578
779.4000000000001,-0.004737016052465341,-32.2278524251906,154.0236011379484
795.2000000000002,-0.00415485198432028,-32.03916450397068,170.131236473216
811.0000000000001,-0.004367904050365564,-31.8614571830659,-173.6535394999571
826.8000000000001,-0.004540381708645855,-31.6777963781526,-157.4357617438205
842.6000000000001,-0.004218022069869843,-31.49870142018471,-141.510522290934
858.4000000000001,-0.004348419172393815,-31.32814395953154,-125.3296523862294
874.2000000000002,-0.004504929372888459,-31.14908623386459,-109.1242326234
890.0000000000001,-0.004856859994191108,-30.98684543320395,-92.87960718837301
905.8000000000001,-0.004126018129290352,-30.80751450831061,-76.76445051137111
921.6000000000001,-0.004457322954098778,-30.63328922144303,-60.69655984356685
937.4000000000001,-0.00392929874279845,-30.47807022749609,-44.44177437736407
953.2000000000002,-0.004334388108583493,-30.31533648950434,-28.15902349415112
969.0000000000001,-0.004585937932760079,-30.16148476406255,-11.98276807956964
984.8000000000001,-0.004628450714715108,-30.00597569273238,4.286288412189622
1000.6,-0.00440582348605933,-29.84264074940086,20.57750799630247
1016.4,-0.004119920391762401,-29.69250873095288,36.90236230169465
1032.2,-0.004209432449991684,-29.54631875428575,53.09103338386622
1048,-0.004928033517051591,-29.39639725041706,69.32727958959518
1063.8,-0.004916330188497254,-29.26135790336684,85.56140805915031
1079.6,-0.004431028266642467,-29.10955296664747,101.8410486675557
1095.4,-0.004731214384342543,-28.98760609789134,118.1863438761382
1111.2,-0.004975254893735076,-28.83771318787355,134.3361632381237
1127,-0.00518522200349782,-28.7025043392173,150.5473105337481
1142.8,-0.005499319330172846,-28.56716590644155,166.7115621683454
1158.6,-0.005082491186938309,-28.4409067175375,-177.0683804502202
1174.4,-0.005167161525119666,-28.29470030836409,-160.9124190110368
1190.2,-0.004737515646319132,-28.16866199286798,-144.686954712487
1206,-0.005262894125400972,-28.03722633805641,-128.4923132474369
1221.8,-0.005461671178677717,-27.8873877615662,-112.3230761562311
1237.6,-0.005322903185510023,-27.76391659453175,-96.15144570883237
1253.4,-0.005040518305625645,-27.63640216826426,-79.98760905918149
1269.2,-0.005259848720301982,-27.50326120931745,-63.77724934505996
1285,-0.00547837768668463,-27.36704286795619,-47.50713623094816
1300.8,-0.005112047584556494,-27.24237796255453,-31.32609363414225
1316.6,-0.005066799589115569,-27.1188415765603,-15.12654543467123
1332.4,-0.005775650184999556,-26.98024168407965,1.145501181744847
1348.2,-0.005615195694603175,-26.86138827410925,17.34740279352333
