#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B027D8
#Date Time: 2023-06-12 12:25:02.433
#Start: 8000 Hz
#Stop: 100 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47316 V
#Offset: 0.000111453 V
#Relative: no
#Channel: Channel 2
#Range: 5.4696 V
#Offset: 0.000228279 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.005503640848960415,-50.83452655105269,-131.4262745718388
115.8,-0.004766014049740708,-49.47994155898883,-76.91839188293645
131.6,-0.004369849583430893,-48.31489640320508,-126.3314060807283
147.4,-0.0039306426175398,-47.23637857594375,-135.9388273889199
163.2,-0.003961490097087245,-46.2762838494999,-129.9563030371967
179,-0.003624337543645091,-45.34250256161131,-89.74330540922949
194.8,-0.003715712453907719,-44.59423575835211,-101.7237420716478
210.6,-0.003582168063730195,-43.87194188053802,-71.90053433608543
226.4,-0.003606464757209249,-43.14966541237315,-51.48028523250046
242.2,-0.003196602898583316,-42.62960837517127,-63.63631425427543
258.0000000000001,-0.002978492453823591,-42.01594952796887,-28.02709065785198
273.8000000000001,-0.00317447925135367,-41.52170942650238,-6.714928604775582
289.6,-0.003346011845700921,-41.04258201951694,11.52938481107776
305.4,-0.003255847541167578,-40.57105630189742,23.95816730427592
321.2,-0.002970755148998632,-40.18119408357634,48.08065847863438
337.0000000000001,-0.002937015780952569,-39.79520889882109,65.51423650946947
352.8000000000001,-0.003046851567211332,-39.40112437393915,74.2407016605551
368.6000000000001,-0.002979549494271156,-39.05736234811544,98.63695254617799
384.4,-0.003170794865761006,-38.68221795381159,108.3537598385872
400.2,-0.003096597557851437,-38.37501346503365,134.5539885773446
416.0000000000001,-0.003037326808561021,-38.05482426254866,139.3213819800349
431.8000000000001,-0.002942811336663037,-37.68790213164029,159.631907381614
447.6000000000001,-0.003349617863621412,-37.45676883589947,173.9472367916986
463.4,-0.002996769229391086,-37.10411518751498,-171.2591223901083
479.2,-0.00343511396435543,-36.78310001883599,-154.4475688337761
495.0000000000001,-0.003401504164031015,-36.49036652364337,-137.8502822725831
510.8000000000001,-0.003549124176391908,-36.15467783025466,-120.4367200779388
526.6000000000001,-0.003431893172125928,-35.87447721109528,-106.4537684022389
542.4000000000001,-0.003070805576807932,-35.66253103270687,-89.92434005666425
558.2,-0.003030607030534687,-35.33480854212134,-75.07009950562244
574.0000000000001,-0.002578262595017953,-35.06105016164607,-57.47973554716123
589.8000000000001,-0.002888981592346132,-34.79287754245179,-40.84407258771813
605.6000000000001,-0.00296930865993006,-34.56061490496796,-24.91608874458855
621.4000000000001,-0.002758699487137137,-34.3198373026343,-8.924314143774879
637.2000000000002,-0.003138939253113986,-34.10620536749509,7.151610948871823
653.0000000000001,-0.003171157277715217,-33.86527363464062,23.97216078481667
668.8000000000001,-0.003430082551181676,-33.70099944793891,40.39020566645122
684.6000000000001,-0.003270638957449501,-33.44471294885282,56.14856928288698
700.4000000000001,-0.003462523796321336,-33.26133538805892,72.5441427676777
716.2000000000002,-0.003689727387830291,-33.07497348040052,89.24393543369605
732.0000000000001,-0.003377777132898089,-32.87209229336135,105.1920551958975
747.8000000000001,-0.003053320270705939,-32.68953693265723,121.5042271831941
763.6000000000001,-0.00352717762062497,-32.51854858297673,137.9004972998521
779.4000000000001,-0.00339876921760516,-32.34756343404457,154.1187948201026
795.2000000000002,-0.003909664553028895,-32.19630981954888,170.4850433923061
811.0000000000001,-0.003592772063410257,-31.9814591252331,-173.6288848383054
826.8000000000001,-0.003164511956601601,-31.80310445518826,-157.5673232687428
842.6000000000001,-0.003444799500319499,-31.60182694379344,-141.3428063662035
858.4000000000001,-0.003642672917362525,-31.42399728407469,-125.1728566012373
874.2000000000002,-0.003440276826897556,-31.2517230376197,-109.0547369635392
890.0000000000001,-0.003777053848708647,-31.07288966403419,-92.96386522392173
905.8000000000001,-0.003525958866384007,-30.90415135773498,-76.74174712312858
921.6000000000001,-0.003860466297691143,-30.73366361276582,-60.62652005370692
937.4000000000001,-0.00404156774851537,-30.57469299742041,-44.27237836909958
953.2000000000002,-0.003360322749424554,-30.39512936640215,-28.24247354183701
969.0000000000001,-0.003928981270474773,-30.2337804410677,-12.0228889848847
984.8000000000001,-0.003941338693288208,-30.07473420150074,4.318752704165219
1000.6,-0.004041749072272255,-29.95783216535896,20.55270061219847
1016.4,-0.004269676957026383,-29.7737815243467,36.84269619310589
1032.2,-0.003712971347491688,-29.62718944674132,53.0720437360644
1048,-0.004134238037957555,-29.47322487572893,69.37600092162512
1063.8,-0.004717912974109739,-29.3433570162175,85.6626041748311
1079.6,-0.004760110737484853,-29.22988567818108,101.7952099950125
1095.4,-0.004336677046701978,-29.0720804861584,118.1078972904657
1111.2,-0.004183019785729061,-28.93082159297617,134.3123753535556
1127,-0.004235410231524451,-28.80457652969833,150.5711458331855
1142.8,-0.00486802781782905,-28.673903124819,166.8005483914982
1158.6,-0.004734716316572272,-28.54477166804939,-177.0177974342809
1174.4,-0.004109984183913266,-28.42023031728335,-160.8192336918756
1190.2,-0.003950028555820455,-28.27979758607338,-144.5605778861794
1206,-0.004954032328623891,-28.12940841216736,-128.5203425109916
1221.8,-0.005109131206378225,-27.99655187333849,-112.2916316254996
1237.6,-0.004551536517204058,-27.88067119710703,-96.0877048954558
1253.4,-0.004876216324380581,-27.71877508394627,-79.93987546895777
1269.2,-0.004849266747296565,-27.59714013751052,-63.785491189772
1285,-0.00515405234215826,-27.47630464347938,-47.59368008256628
1300.8,-0.005272053348270253,-27.32296515188023,-31.30827669942806
1316.6,-0.004753408689874845,-27.18337004573702,-15.09034320000323
1332.4,-0.005454951483728107,-27.05598264641569,1.169052790537592
1348.2,-0.004855908680768974,-26.94038761814017,17.38359607802092
1364,-0.004732725104164573,-26.81797992004343,33.61102336597049
1379.8,-0.004866469567483094,-26.69837345638421,49.83500911492103
1395.6,-0.005438358265330442,-26.58073033289064,66.092122327129
1411.4,-0.005577412864566034,-26.4844001265891,82.29161388163638
1427.2,-0.005130233531130624,-26.34436062549082,98.65175315756396
1443,-0.005992038756590471,-26.21898720171381,114.8759504604594
1458.8,-0.005293512851308736,-26.11668756172195,131.1054270123431
1474.6,-0.00535161502283316,-26.00243651172548,147.3684502563845
1490.4,-0.005777991079958892,-25.8870398595278,163.5187924946194
1506.2,-0.005541741224790734,-25.77497559577264,179.681279218857
1522,-0.005469590443639783,-25.67006596442596,-164.0774903009347
1537.8,-0.005288330223096265,-25.54194800828598,-147.8988235286964
1553.6,-0.006333913488576451,-25.43753925033836,-131.7203690833649
1569.4,-0.005361564626524319,-25.32534164959495,-115.5436421150508
1585.2,-0.005629753342269849,-25.19483478340283,-99.27304287842551
1601,-0.006024057776531994,-25.08180096063041,-83.0789440807375
1616.8,-0.006079228716807185,-24.96203695282372,-66.83478952338426
1632.6,-0.004873499360254939,-24.84448150092701,-50.6730616453123
1648.4,-0.006036750491277978,-24.74251581403742,-34.45263188637654
1664.2,-0.005609556126568669,-24.6124696891862,-18.19344349312425
1680,-0.006031392353847092,-24.50171202197435,-2.020890038532227
1695.8,-0.005765091060724631,-24.38909200711219,14.23388800388832
1711.6,-0.005803358122435808,-24.26938871763552,30.5080121470325
1727.4,-0.006131067322528018,-24.16041601641,46.71663130000844
1743.2,-0.006222135183174784,-24.03013537337293,63.02541430069725
1759,-0.006190640469590902,-23.93465361059804,79.21387171072288
1774.8,-0.006705387740934614,-23.84057813876627,95.46297711551821
1790.6,-0.006331983348416719,-23.73571161669294,111.6768279856868
1806.4,-0.00711077744942361,-23.61985960929776,127.9391174499332
1822.2,-0.007154989983905441,-23.50724319373233,144.1637180477311
1838,-0.006982568226417165,-23.41021205989595,160.3868447514826
1853.8,-0.0073839829322191,-23.31587125890689,176.6635069831963
1869.6,-0.006828992835428581,-23.22279506383936,-167.129768361044
1885.4,-0.007216739546165776,-23.10466977638448,-150.8710197721795
1901.2,-0.008071740972850258,-22.9970849785667,-134.7283137454243
1917,-0.007010809960495685,-22.88804456747134,-118.5149549725876
1932.8,-0.006862194294274355,-22.78455011765566,-102.3294182355553
1948.6,-0.006259058148765711,-22.66839699325875,-86.07452631247021
1964.4,-0.006754680141062207,-22.55734781025133,-69.85412902790151
1980.2,-0.006768077380422331,-22.45008071760926,-53.6269339108988
1996,-0.007010653168963211,-22.32095615549936,-37.41725512676036
2011.8,-0.006696917842174649,-22.22717777981818,-21.19110768435102
2027.6,-0.006810535998812603,-21.98134082189203,-4.922594374159742
2043.4,-0.006969157049986781,-0.5733907844902389,11.31811262536944
2059.2,-0.008034753196169383,-0.5775914136886249,27.56087300257017
2075,-0.007107597080433938,-0.5665102286920394,43.84232416735342
2090.8,-0.00766100677976057,-0.5580363979583993,60.06102382239011
2106.6,-0.007636211738825553,-0.5481652382845983,76.32965080248333
2122.400000000001,-0.007228572967172463,-0.53859558226163,92.57624607728698
2138.2,-0.007892568041207287,-0.5275961844250617,108.7843536867926
2154,-0.00879944903366253,-0.520808414615447,125.1026680627106
2169.8,-0.007200115017162265,-0.5106850631346498,141.3058196529633
2185.6,-0.007552490572429161,-0.5118307616903934,157.5370008269254
2201.400000000001,-0.0080546761903621,-0.5104936962130068,173.7846130206475
2217.2,-0.007406159251592804,-0.5040931915927611,-169.966222924155
2233,-0.007544612278162238,-0.5002758814193385,-153.732303333895
2248.800000000001,-0.007704306580823633,-0.4982362314055597,-137.5111441942608
2264.6,-0.007448545049506858,-0.4967408645194349,-121.2474481116187
2280.400000000001,-0.008649701004025238,-0.4962344887989961,-105.0449476051088
2296.2,-0.007475805475927483,-0.5020859034919091,-88.83117182939978
2312,-0.008153859716410698,-0.4887669263941142,-72.52821672080901
2327.800000000001,-0.008003000669333843,-0.4746568249818006,-56.31378091986321
2343.6,-0.008375831836753311,-0.4682341285191246,-40.11136228809823
2359.400000000001,-0.007939453914399344,-0.4613073361347866,-23.88553991374634
2375.2,-0.008256023070894954,-0.4514238530012507,-7.59015691152801
2391,-0.008245174352961468,-0.4447308945297424,8.705817133623761
2406.800000000001,-0.008255039687212775,-0.448078465042056,24.94106760928855
2422.6,-0.008849592867108373,-0.4373416933408352,41.23423530282514
2438.400000000001,-0.008130257871538031,-0.4371802505425648,57.46633589186824
2454.2,-0.008907068208618482,-0.4290927778656409,73.78458906877768
2470,-0.00917543619274676,-0.4264157692692856,90.03819395848828
2485.800000000001,-0.009255572807513299,-0.423780720325386,106.2916103938737
2501.6,-0.008784195960060097,-0.422075669180384,122.5848296489713
2517.400000000001,-0.00949281849353604,-0.4216300070508615,138.818474194201
2533.2,-0.008486068798962762,-0.4229447965510222,155.0932515384177
2549,-0.009891263229787601,-0.4183457733359814,171.3646621413855
2564.800000000001,-0.008666170332782377,-0.4105712768478099,-172.3473489135039
2580.6,-0.009513518016726258,-0.4009604118799071,-156.1034491008878
2596.400000000001,-0.008477595406294182,-0.3937118303009843,-139.856300469365
2612.2,-0.009542270391778055,-0.392526501675587,-123.5614853700799
2628,-0.009719448350405262,-0.3846616751995178,-107.3013036655517
2643.800000000001,-0.009719127860598004,-0.3804694155955031,-91.06386819846512
2659.6,-0.009963187636045106,-0.374544275902019,-74.79038113678139
2675.400000000001,-0.009471664528334001,-0.3714647551818235,-58.49403917437836
2691.2,-0.009630807381192579,-0.3705039807124469,-42.19734036695084
2707,-0.009465274333277079,-0.3644815038168476,-25.87212080776046
2722.800000000001,-0.01028384144818418,-0.3645294075634364,-9.613842149817282
2738.6,-0.009831836048125231,-0.3626592458967871,6.693746000488339
2754.400000000001,-0.01061278894358761,-0.3611084124796088,22.95963693012555
2770.2,-0.01040442644581783,-0.359060694250227,39.25202394547647
2786,-0.009882145992177994,-0.3627934306938737,55.55994506261161
2801.800000000001,-0.01141284458556462,-0.3550898414045232,71.88710101135561
