Aminus_dB_ac (Design_Point=1) X,Aminus_dB_ac (Design_Point=1) Y
10,-14.41692012088552
15.63073499534038,-14.4169201208837
24.43198764945585,-14.41692012088213
38.18899243580734,-14.4169201208749
59.69220205031629,-14.41692012085644
93.30329915368077,-14.41692012081431
145.8399143262151,-14.416920120711
227.9585052576213,-14.41692012045723
356.3158985615785,-14.41692011983815
556.9479385042617,-14.41692011832591
870.5505632961247,-14.41692011463033
1360.734515492602,-14.41692010560242
2126.928061067775,-14.41692008354466
3324.544887670353,-14.41692002965526
5196.508011928893,-14.41691989798991
8122.523963562362,-14.4169195763048
12696.10195677451,-14.41691879021886
19844.94051601648,-14.41691686988575
31019.10062041469,-14.41691217788226
48485.13415915004,-14.41690071506727
75785.82832551998,-14.41687270936259
118458.8198958563,-14.41680428693085
185159.8421652885,-14.41663712368694
289418.4424664677,-14.41622874580095
452382.2976957523,-14.41523121633185
707106.7811865485,-14.41279535017316
1105259.871013508,-14.40685177585529
1727602.414479623,-14.39237640043376
2700369.551804118,-14.35728172935227
4220876.085373625,-14.27311999942646
6597539.553864484,-14.07639967781643
10312439.2387732,-13.64222214239934
16119100.48968135,-12.78901050802009
25195338.81174706,-11.4149984984182
39382166.40842324,-9.740552672555811
61557220.66724596,-8.287562472669714
96218460.32994115,-7.508937736973036
150396525.5076981,-7.62661080509565
235080823.443078,-8.810813305997812
367448605.3725152,-10.2713417073983
574349177.4985191,-8.389976871185175
897749978.8271066,-5.71507234451051
1403249201.111894,-4.78878556735166
2193381639.500311,-4.834967214378459
3428416715.067458,-5.011676995126013
5358867312.681482,-5.100897272020041
8376303483.971611,-5.13448143187592
13092777999.85066,-5.146809267857561
20464974326.84884,-5.15144131432964
31988259038.94186,-5.153042700575654
50000000000,-5.153115836638266
