Ac_dB_ac (Design_Point=1) X,Ac_dB_ac (Design_Point=1) Y
10,-17.3458695710783
14.86076613902463,-17.34586957107826
22.0842370238781,-17.34586957107547
32.81886817706418,-17.34586957107089
48.77135249268284,-17.34586957105959
72.47796636776955,-17.34586957103383
107.7078108423516,-17.3458695709801
160.0620588274488,-17.34586957085819
237.864482396552,-17.34586957059319
353.48484456753,-17.34586956999809
525.3055608807534,-17.34586956869344
780.6443091778042,-17.34586956580914
1160.097251645179,-17.34586955951096
1723.993395522421,-17.34586954551652
2561.986267608168,-17.34586951459843
3807.307877431756,-17.34586944627666
5657.951198577958,-17.3458692956366
8408.148958808115,-17.34586896270514
12495.15353389308,-17.34586822739629
18568.75545383923,-17.34586660348455
27594.59322922429,-17.34586301776223
41007.67966810147,-17.34585509852435
60940.55374516912,-17.34583760964845
90562.33175896198,-17.34579898694425
134582.5633274697,-17.34571369320179
200000,-17.34552533606324
297215.3227804926,-17.34510939928546
441684.740477562,-17.34419100988087
656377.3635412835,-17.34216366996256
975427.0498536567,-17.33769060062098
1449559.327355391,-17.32783237827179
2154156.216847031,-17.30615919206287
3201241.176548976,-17.25876672793318
4757289.647931039,-17.15633334066887
7069696.891350599,-16.94030639649483
10506111.21761507,-16.50664712327032
15612886.18355608,-15.71134289286524
23201945.03290357,-14.44644449949245
34479867.91044842,-12.76912682728238
51239725.35216337,-10.90317568574974
76146157.54863514,-9.026946537812279
113159023.9715592,-7.119666943960203
168162979.1761623,-5.123214851886283
249903070.6778617,-3.21015764225641
371375109.0767846,-1.827049899052777
551891864.5844859,-1.52365669686227
820153593.3620294,-2.700591352249647
1218811074.903382,-5.420317281513331
1811246635.17924,-9.467580311612577
2691651266.549394,-14.54960697806752
4000000000,-20.35858784222471
