Ac_dB_ac (Design_Point=1) X,Ac_dB_ac (Design_Point=1) Y
10,-17.3458695710783
15.84893192461114,-17.34586957107798
25.11886431509581,-17.34586957107469
39.81071705534973,-17.34586957106652
63.09573444801934,-17.34586957104576
100,-17.34586957099245
158.4893192461114,-17.34586957086248
251.1886431509581,-17.34586957053645
398.1071705534974,-17.34586956970577
630.9573444801935,-17.34586956763897
1000,-17.3458695624266
1584.893192461114,-17.34586954942536
2511.886431509582,-17.34586951679457
3981.071705534975,-17.34586943478873
6309.573444801937,-17.34586922847939
10000.00000000001,-17.34586871041682
15848.93192461115,-17.34586740922963
25118.86431509582,-17.34586414084153
39810.71705534976,-17.3458559310242
63095.73444801939,-17.3458353089428
100000.0000000001,-17.3457835091494
158489.3192461116,-17.34565339727725
251188.6431509583,-17.34532659234518
398107.1705534978,-17.34450583009812
630957.3444801942,-17.34244501662292
1000000.000000002,-17.33727383281808
1584893.192461116,-17.32431801451293
2511886.431509584,-17.29198465028495
3981071.705534979,-17.21206414548455
6309573.444801943,-17.01906739806576
10000000.00000002,-16.57732666921087
15848931.92461117,-15.67228336928727
25118864.31509585,-14.13773041735636
39810717.05534981,-12.10071595618164
63095734.44801947,-9.915665358734749
100000000.0000002,-7.724375993175075
158489319.2461118,-5.424242440348394
251188643.1509587,-3.187678114332965
398107170.5534983,-1.680949715483607
630957344.480195,-1.744961435308823
1000000000.000003,-3.878475863041595
1584893192.461118,-7.973312416939317
2511886431.509588,-13.60151264738276
3981071705.534985,-20.2859980286286
6309573444.801953,-27.52535789798184
10000000000.00003,-34.84190389974852
15848931924.61119,-41.7373413100003
25118864315.09589,-47.59468228049195
39810717055.34987,-51.82657873311609
63095734448.01955,-54.32319759215475
100000000000,-55.53401485267876
