Ac_dB_ac (Design_Point=1) X,Ac_dB_ac (Design_Point=1) Y
10,-17.04139708788002
15.84893192461114,-17.04139708788439
25.11886431509581,-17.04139708789417
39.81071705534973,-17.04139708791993
63.09573444801934,-17.04139708798244
100,-17.04139708813783
158.4893192461114,-17.04139708853391
251.1886431509581,-17.04139708952477
398.1071705534974,-17.04139709201486
630.9573444801935,-17.04139709826947
1000,-17.04139711398269
1584.893192461114,-17.04139715344781
2511.886431509582,-17.04139725258366
3981.071705534975,-17.04139750160105
6309.573444801937,-17.04139812710203
10000.00000000001,-17.04139969828848
15848.93192461115,-17.04140364492726
25118.86431509582,-17.04141355833115
39810.71705534976,-17.04143845945954
63095.73444801939,-17.04150100686601
100000.0000000001,-17.04165811025277
158489.3192461116,-17.04205267700846
251188.6431509583,-17.04304342103454
398107.1705534978,-17.0455297627905
630957.3444801942,-17.05176073408014
1000000.000000002,-17.0673217532127
1584893.192461116,-17.10584800440398
2511886.431509584,-17.19922541434137
3981071.705534979,-17.41440962605209
6309573.444801943,-17.85800968820332
10000000.00000002,-18.59573049384618
15848931.92461117,-19.468249685617
25118864.31509585,-20.11469880287429
39810717.05534981,-20.27529267914046
63095734.44801947,-19.83193174699886
100000000.0000002,-18.69609157167463
158489319.2461118,-16.99178619093382
251188643.1509587,-15.3304771458796
398107170.5534983,-14.69822118859155
630957344.480195,-15.93937218114634
1000000000.000003,-19.23528200382983
1584893192.461118,-24.2260056349983
2511886431.509588,-30.52311027822991
3981071705.534985,-37.82114018655961
6309573444.801953,-45.88235461231523
10000000000.00003,-54.1559325136049
15848931924.61119,-58.84422893659991
25118864315.09589,-58.70970534410557
39810717055.34987,-58.14311882691368
63095734448.01955,-57.8614919021945
100000000000,-57.73856965759887
